Sample ID,Region,Ecotype,Wild/Sel,Pop ,Lat,Long,Temp,Sal,Pop ID,Sample ID,Length,Sex,NOTES1,NOTES2,NOTES3
CL_3,Louisiana,,W,Calcasieu Lake,,,,,CL,3,112,F,a lot of polydora in shell, very ripe,
CL_4,Louisiana,,W,Calcasieu Lake,,,,,CL,4,106,F,a lot of polydora in shell, very ripe,
CL_5,Louisiana,,W,Calcasieu Lake,,,,,CL,5,121,F,a lot of polydora in shell, very ripe,
CL_6,Louisiana,,W,Calcasieu Lake,,,,,CL,6,103,F,a lot of polydora in shell, very ripe,
OBOYS2_1,Louisiana,Selected,S,OBOYS2,,,,,OBOYS2,1,130,F,polydora in shell, meats dry not a lot of hemolymph, very hard to shuck
OBOYS2_2,Louisiana,Selected,S,OBOYS2,,,,,OBOYS2,2,150,F,polydora in shell, meats dry not a lot of hemolymph, very hard to shuck
OBOYS2_3,Louisiana,Selected,S,OBOYS2,,,,,OBOYS2,3,122,M,polydora in shell, meats dry not a lot of hemolymph, very hard to shuck
OBOYS2_4,Louisiana,Selected,S,OBOYS2,,,,,OBOYS2,4,127,M,polydora in shell, meats dry not a lot of hemolymph, very hard to shuck
OBOYS2_5,Louisiana,Selected,S,OBOYS2,,,,,OBOYS2,5,144,F,polydora in shell, meats dry not a lot of hemolymph, very hard to shuck
OBOYS2_6,Louisiana,Selected,S,OBOYS2,,,,,OBOYS2,6,128,F,polydora in shell, meats dry not a lot of hemolymph, very hard to shuck
DEBY_1,Chesapeake Bay,High,S,DEBY,,,,,DEBY,1,99,F,polydora in shell,,
DEBY_2,Chesapeake Bay,High,S,DEBY,,,,,DEBY,2,100,NA,polydora in shell,,
DEBY_3,Chesapeake Bay,High,S,DEBY,,,,,DEBY,3,118,F,polydora in shell,,
DEBY_4,Chesapeake Bay,High,S,DEBY,,,,,DEBY,4,115,NA,polydora in shell,,
DEBY_5,Chesapeake Bay,High,S,DEBY,,,,,DEBY,5,85,NA,polydora in shell,,
DEBY_6,Chesapeake Bay,High,S,DEBY,,,,,DEBY,6,79,NA,polydora in shell,,
LOLA_1,Chesapeake Bay,Low,S,LOLA,,,,,LOLA,1,102,NA,VERY THIN, polydora,
LOLA_2,Chesapeake Bay,Low,S,LOLA,,,,,LOLA,2,90,M,polydora,,
LOLA_3,Chesapeake Bay,Low,S,LOLA,,,,,LOLA,3,100,NA,polydora,,
LOLA_4,Chesapeake Bay,Low,S,LOLA,,,,,LOLA,4,99,F,polydora,,
LOLA_5,Chesapeake Bay,Low,S,LOLA,,,,,LOLA,5,83,M,polydora,,
LOLA_6,Chesapeake Bay,Low,S,LOLA,,,,,LOLA,6,95,F,polydora,,
CLP_1,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,1,122,F,,,
CLP_2,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,2,104,NA,,,
CLP_3,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,3,105,NA,,,
CLP_4,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,4,113,NA,polydora,,
CLP_5,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,5,100,NA,,,
CLP_6,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,6,102,NA,,,
HC_VA_1,Chesapeake Bay,High,W,Hummock Cove,,,,,HC_VA,1,52,NA,too small to sex,,
HC_VA_2,Chesapeake Bay,High,W,Hummock Cove,,,,,HC_VA,2,48,NA,too small to sex,,
HC_VA_3,Chesapeake Bay,High,W,Hummock Cove,,,,,HC_VA,3,42,NA,too small to sex,,
HC_VA_4,Chesapeake Bay,High,W,Hummock Cove,,,,,HC_VA,4,60,NA,too small to sex,,
HC_VA_5,Chesapeake Bay,High,W,Hummock Cove,,,,,HC_VA,5,48,NA,too small to sex,,
HC_VA_6,Chesapeake Bay,High,W,Hummock Cove,,,,,HC_VA,6,52,NA,too small to sex,,
HG_HG0F2,RU Inbred,,I,RU Inbred,,,,,HG,HG0F2,,,parent, female,
HG_HG2F1,RU Inbred,,I,RU Inbred,,,,,HG,HG2F1,,,gynogenetic progeny, female,
HG_HG2M5,RU Inbred,,I,RU Inbred,,,,,HG,HG2M5,,,gynogenetic progeny, male,
NG_NH0H4,RU Inbred,,I,RU Inbred,,,,,NG,NH0H4,,,parent, hermaphrodite,
NG_NH2F6,RU Inbred,,I,RU Inbred,,,,,NG,NH2F6,,,selfing progeny, female,
NG_NH2F8,RU Inbred,,I,RU Inbred,,,,,NG,NH2F8,,,selfing progeny, female,
NG_NH2M1,RU Inbred,,I,RU Inbred,,,,,NG,NH2M1,,,selfing progeny, male,
